person,House,disease,botulism,diagnosed,Poison,296,4,12,0.0
person,House,disease,organophosphate poisoning,diagnosed,Poison,314,0,4,1.0
person,Cameron,disease,cancer,diagnosed,Detox,438,0,10,1.0
person,Cameron,disease,pancreatic cancer,diagnosed,Detox,438,0,18,0.0
person,House,disease,hepatitis E,diagnosed,Detox,792,0,2,1.0
person,House,disease,infarction,diagnosed,Detox,1658,4,7,0.0
person,Mark,disease,neurological disorder,diagnosed,Honeymoon,442,2,9,0.0
person,Mark,disease,porphyria,diagnosed,Honeymoon,1163,12,10,0.0
person,House,disease,strains,diagnosed,Honeymoon,1489,0,15,0.0
person,House,disease,immune disorder,diagnosed,Damned If You Do,432,16,7,0.0
person,House,disease,mixed connective tissue disease,diagnosed,Damned If You Do,432,16,10,0.0
person,Foreman,disease,immune disorder,diagnosed,Damned If You Do,464,0,17,0.0
person,Foreman,disease,oxygen toxicity,diagnosed,Damned If You Do,464,0,7,1.0
person,House,disease,allergy,diagnosed,Damned If You Do,796,9,28,0.0
person,Cuddy,disease,allergy,diagnosed,Damned If You Do,796,0,28,0.0
person,House,disease,allergy,diagnosed,Damned If You Do,980,0,7,0.0
person,House,disease,schizophrenia,diagnosed,The Socratic Method,20,19,8,0.0
person,Wilson,disease,schizophrenia,diagnosed,The Socratic Method,390,0,10,0.5
person,House,disease,schizophrenia,diagnosed,The Socratic Method,1390,0,10,0.0
person,House,disease,schizophrenia,diagnosed,The Socratic Method,1479,0,14,0.0
person,House,disease,strep,diagnosed,The Socratic Method,1671,0,13,0.0
person,House,disease,food poisoning,diagnosed,Role Model,150,2,12,0.0
person,House,disease,food poisoning,diagnosed,Role Model,150,8,12,1.0
person,Vogler,disease,food poisoning,diagnosed,Role Model,150,0,12,0.0
person,Foreman,disease,AIDS,diagnosed,Role Model,451,0,25,0.0
person,House,disease,AIDS,diagnosed,Role Model,478,11,8,0.0
person,Foreman,disease,AIDS,diagnosed,Role Model,587,11,18,0.0
person,House,disease,AIDS,diagnosed,Role Model,833,0,13,0.0
person,House,disease,food poisoning,diagnosed,Role Model,950,7,12,0.0
person,Vogler,disease,food poisoning,diagnosed,Role Model,950,0,12,0.0
person,House,disease,common variable immunodeficiency,diagnosed,Role Model,1304,0,22,0.0
person,House,disease,miscarriage,diagnosed,Role Model,1659,0,7,1.0
person,House,disease,burn,diagnosed,Role Model,1753,10,16,1.0
person,Foreman,disease,bone cancer,diagnosed,Kids,645,2,12,0.0
person,Foreman,disease,cancer,diagnosed,Kids,797,0,10,0.0
person,House,disease,hepatitis,diagnosed,Mob Rules,423,0,4,0.0
person,House,disease,bulimia,diagnosed,Mob Rules,621,0,23,0.0
person,House,disease,bulimia,diagnosed,Mob Rules,621,25,23,0.0
person,Foreman,disease,bulimia,diagnosed,Mob Rules,621,3,23,0.0
person,Foreman,disease,bulimia,diagnosed,Mob Rules,621,35,23,0.0
person,Vogler,disease,bulimia,diagnosed,Mob Rules,621,17,23,0.0
person,House,disease,poisoning,diagnosed,Mob Rules,991,0,18,1.0
person,House,disease,hepatitis,diagnosed,Mob Rules,1071,2,36,0.0
person,Cuddy,disease,hepatitis,diagnosed,Mob Rules,1071,0,36,0.0
person,House,disease,food sensitivity,diagnosed,Mob Rules,1259,0,6,1.0
person,Chase,disease,food sensitivity,diagnosed,Mob Rules,1259,10,6,0.0
person,House,disease,aneurysm,diagnosed,Three Stories,893,7,45,0.0
person,House,disease,infarction,diagnosed,Three Stories,1011,9,18,0.0
person,House,disease,trauma,diagnosed,Three Stories,1344,0,16,0.0
person,House,disease,bite,diagnosed,Three Stories,1808,0,14,0.5
person,House,disease,injury,diagnosed,Three Stories,1808,0,10,0.0
person,Cameron,disease,adenoma,diagnosed,Three Stories,2132,10,24,0.0
person,Rowan,disease,allergy,diagnosed,Cursed,553,0,7,0.0
person,House,disease,anthrax,diagnosed,Cursed,562,0,5,0.0
person,Rowan,disease,sarcoidosis,diagnosed,Cursed,569,0,5,1.0
person,Rowan,disease,sarcoidosis,diagnosed,Cursed,600,0,7,0.0
person,Rowan,disease,anthrax,diagnosed,Cursed,600,0,5,0.0
person,House,disease,sarcoidosis,diagnosed,Cursed,609,0,7,0.0
person,House,disease,anthrax,diagnosed,Cursed,609,0,3,0.0
person,Wilson,disease,cancer,diagnosed,Cursed,871,18,4,0.0
person,Rowan,disease,cancer,diagnosed,Cursed,871,2,4,0.0
person,Rowan,disease,cancer,diagnosed,Cursed,891,0,4,0.0
person,Chase,disease,neurofibromatosis,diagnosed,Cursed,966,3,9,0.0
person,Rowan,disease,neurofibromatosis,diagnosed,Cursed,966,0,9,0.0
person,House,disease,anthrax,diagnosed,Cursed,1081,0,10,0.0
person,House,disease,leprosy,diagnosed,Cursed,1254,0,8,0.0
person,Wilson,disease,brain cancer,diagnosed,Pilot,22,16,13,1.0
